1,Who's your favorite Harry Potter guy?,Harry Potter,Ron Weasley,Draco Malfoy,,Derek
2,Did you like the Harry Potter book or the movie better?,OMG. The book was SO much better!,The Harry Potter movies were the BOMB!,Whatevs. I'm all about vampires!,,Derek
3,Have you nominated your music teacher for a Grammy Teacher Award?,Yes!,No,I didn't know about it!,,Derek
4,"Who's the song ""We Are Never Getting Back Together"" about?",Justin Bieber,Harry Stiles,Austin Mahone,John Mayer,Derek
5,What singing show did Emblem3 appear on?,TheVoice,American Idol,XFACTOR USA,The You Generation,Derek
6,What's the name of MKTO's show on Nickelodeon?,Gigantic,Big Time Rush,Zeke and Luther,,Derek
7,What's the name of Austin Mahone's upcoming debut album?,Freshman Year,Senior Year,Junior Year,,Derek
8,How many stars would you give 'Boyfriend: Acoustic',User enters stars,,,,Derek
9,Rate the Meme: Gangham Style,Love it!,Over it!,,,Derek
10,Bad Boy Bieber (BBB),Go for it Biebs!,Chill bro!,Haters gunna hate,,Derek
11,Rate the Meme: Harlem Shake,Love it!,Over it!,,,Derek
12,Taylor Swift boyfriend drama,Love it!,Over it!,Haters gunna hate,,Derek
13,Which dress should I order for prom?,q14.p1,q14.p2,q14.p3,q14.p4,Noor
14,Who is your favorite Pretty Little Liar?,q15.p1,q15.p2,q15.p3,q15.p4,Noor
15,Best song on the radio right now?,Stay by Rhianna,Thrift Shop Mackelmore,Suit and Tie Justin Timberlake,When I was your man Bruno Mars,Noor
16,"I'm thinking about doing my hair like this for prom, what do you think? ",No way,it's alright but i'd go with something else,Yes!,I totes love it!,Noor
17,How was Beyonce's performance at the Super Bowl?,Overrated,I missed it,Pretty Good,Amazing,Noor
18,How excited are you for the Pretty Little Liars season finale next week?,SO EXCITED,I don't watch it,OMG! That's next week?,I'm scared,Noor
19,Who's your favorite American Idol judge?,Keith Urban,Nicki Minaj,Randy Jackson,Mariah Carey,Derek
20,Who's your favorite judge on The Voice?,Shakira,Blake Shelton,Adam Levine,Usher,Derek
21,Which Pretty Little Liar character are you?,q22.p1,q22.p2,q22.p3,q22.p4,Derek
22,What's your favorite line from The Vampire Diaries,"""Life sucks--get a helmet."" --Damon","""God, I forgot what a brat you are."" --Katherine","""Here's the deal, Shrek!"" --Damon",,Derek
23,What's your favorite reality series?,Kortney and Kim Take Miami,Married to Jonas,The Voice,So You Think You Can Dance,Derek
24,Switched at Birth: Will Bay and Daphne resolve their issues?,I hope so!,Absolutely!,Probably,Whateves,Derek
25,Who's your favorite character on 'The Regular Show',Muscle Man,Rigby,Mordecai,Benson,Derek
26,Which reality judge are you?,Simon Cowell,Nicki Minaj,Demi Lovato,Adam Levine,Derek
27,Pretty Little Liars: Is Toby Really Part of the A Team?,No. Total Poser,Yes. ,"Wannabe, much?",,
28,I want to be a guest star on .....,Pretty Little Liars,The Vampire Diaries,Supernatural,The Carrie Diaries,
29,Do you know what a 'bunhead' actually is? ,Thumbs Up,Thumbs Down,,,
30,The Secret Life of The American Teenager: Do you think Ben will find someone new? ,He's going to wait for Amy.,He's going to move on.,Eventually he will be with Amy.,Dude. Move on.,
31,What did you think of the new show 'Splash'?,Very entertaining -- I will keep watching,I was somewhat entertained -- I may watch the next episode,Totally lame.,I rather watch Wipeout!,
32,Do you like Beyonce's new song 'Bow Down?',Thumbs Up,Thumbs Down,,,
33,Which member of One Direction do you want to date?,,,,,
34,Which Taylor Swift song best describes your love life?,"""We Are Never Ever Getting Back Together"""," ""I Knew You Were Trouble""","""You Belong With Me""","""Love Story""",
35,Which member of The Wanted do you want to party with?,,,,,
36,What's your favorite Ed Sheeran song?,Lego House,A Team,Watchtower,Give me love,
37,Who do you think would win a diva death match?,Nikki Minaj,Katy Perry,Madonna,Taylor Swift,
38,Should Selena Gomez and Justin Bieber get back together,Thumbs Up,Thumbs Down,,,
39,What's Your Favorite line from 'Thrift Shop'?," I'mma take your grandpa style, no for real, ask your grandpa","I'm gunna pop some tags, only got 20 dollars in my pocket","I wear your grandpas clothes, I look incredible","Trying to get girls from a brand, man you hella won't",
40,Who's your favorite male country singer?,Blake Shelton,Hunter Hayes,Luke Bryan,Scotty McCreery,
41,Cool?,Thumbs Up,Thumbs Down,,,
42,"I remember when we broke up, the first time, Saying this is it, I've had enough, 'cause like",We haven't seen each other in like a month,"When you, said you, needed space, what?",We are never ever getting back together. Like ever.,"I used to think we were forever, ever.",
43,Cher Lloyd?,Thumbs Up,Thumbs Down,,,
44,What band are you most excited to see at the Vans Warped Tour this summer?,All Star Weekend,The Sleeping Sirens,Never Shout Never,3OH!3,Noor
45,Name the movie,The Cheese Monkeys,Perks of Being a Wallflower,The Notebook,The Carrie Diaries,
46,Who's Your Favorite Angry Bird?,,,,,
47,Facebook,Thumbs up,Thumbs down,,,
48,What's your favorite app?,Snapchat,Facebook,Twitter,Instagram,
49,What kind of mobile phone do you use?,iPhone,Android,Windows ,Blackberry,
1,What do the yellow birds do in Angry Birds?,Blow Up,Accelerate,Drop Egg Bomb,Split into more birds,
2,Have you ever sent a sext?,Yes.,No way!,Yes and I regret it.,Grooooossss,
3,Do you use social media while you watch TV?,Twitter!,Facebook! ,SMS!,,
4,Scream? Or enjoy the ride?,Scream!,Whoo! Roller Coaster!,,,
5,Do you think Kevin and Danielle will have a baby this season?,Too soon!,I hope so!,,,
